Match_ID,True_Result,Predicted_Result,Predicted_Numeric,Prob_H,Prob_D,Prob_A,Correct
1,H,H,0,0.4887666031392381,0.21888072058010613,0.2923526762806558,True
2,D,A,2,0.32458281018996865,0.22785608825295753,0.4475611015570739,False
3,D,H,0,0.515227621499582,0.1990238275162974,0.2857485509841205,False
4,H,A,2,0.31774890772504377,0.26871255826741447,0.4135385340075417,False
5,H,H,0,0.4772542749562873,0.2150924045347181,0.3076533205089946,True
6,A,A,2,0.29860483615228445,0.2710300234551034,0.4303651403926121,True
7,D,H,0,0.4842109332820213,0.2317581764129286,0.28403089030505013,False
8,H,H,0,0.4960402658407565,0.24417505914637583,0.2597846750128677,True
9,A,H,0,0.49090906108761617,0.2626644930860974,0.24642644582628645,False
10,H,H,0,0.5149624522540898,0.19893656932738216,0.28610097841852816,True
11,A,H,0,0.4122180381556628,0.2190918154316316,0.36869014641270564,False
12,A,A,2,0.3051889790181339,0.21335596527039288,0.48145505571147323,True
13,H,A,2,0.23545294703370234,0.381892749203101,0.38265430376319665,False
14,H,H,0,0.3931071625988188,0.29921228207812156,0.30768055532305966,True
15,H,H,0,0.434150298932011,0.2714784854562377,0.2943712156117513,True
16,H,H,0,0.4696799542855028,0.23232034524146916,0.297999700473028,True
17,D,A,2,0.24225992074134783,0.22720814448058368,0.5305319347780685,False
18,H,H,0,0.35964175060490294,0.28381743250834784,0.35654081688674916,True
19,D,H,0,0.40011194150623064,0.27706475290761623,0.32282330558615313,False
20,A,H,0,0.3840003144356188,0.23537080950326525,0.380628876061116,False
21,H,A,2,0.3520145414674083,0.2334125052067599,0.4145729533258318,False
22,H,A,2,0.3105261339389451,0.30643524718254966,0.38303861887850515,False
23,H,H,0,0.5617915368395386,0.20210935176741507,0.23609911139304637,True
24,A,H,0,0.42923145915776306,0.20437039199837656,0.3663981488438603,False
25,A,H,0,0.4704267482880394,0.21241753953239426,0.31715571217956634,False
26,D,A,2,0.3136683843230536,0.26550390659716644,0.42082770907977984,False
27,H,H,0,0.4656593346532505,0.19179451723663898,0.3425461481101106,True
28,A,H,0,0.537080102401836,0.2575000316629789,0.20541986593518513,False
29,H,A,2,0.3456437309228902,0.30203228208526195,0.3523239869918478,False
30,A,H,0,0.3837011899843814,0.23471938668275016,0.38157942333286843,False
