date,home_team_epl,away_team_epl,home_team_mapped,away_team_mapped,home_goals,away_goals,result,has_xg,home_xg,away_xg,xg_source,match_id
2025-08-08,Birmingham,Ipswich,Birmingham,Ipswich Town,1,1,D,False,,,,
2025-08-09,Charlton,Watford,Charlton,Watford,1,0,H,False,,,,
2025-08-09,Coventry,Hull,Coventry,Hull,0,0,D,False,,,,
2025-08-09,Southampton,Wrexham,Southampton,Wrexham,2,1,H,False,,,,
2025-08-09,Middlesbrough,Swansea,Middlesbrough,Swansea,1,0,H,False,,,,
2025-08-09,Norwich,Millwall,Norwich,Millwall,1,2,A,False,,,,
2025-08-09,Oxford,Portsmouth,Oxford,Portsmouth,0,1,A,False,,,,
2025-08-09,QPR,Preston,QPR,Preston,1,1,D,False,,,,
2025-08-09,Stoke,Derby,Stoke,Derby,3,1,H,False,,,,
2025-08-09,West Brom,Blackburn,West Brom,Blackburn,1,0,H,False,,,,
2025-08-09,Sheffield United,Bristol City,Sheffield United,Bristol City,1,4,A,False,,,,
2025-08-10,Leicester,Sheffield Weds,Leicester City,Sheffield Weds,2,1,H,False,,,,
2025-08-16,Derby,Coventry,Derby,Coventry,3,5,A,False,,,,
2025-08-16,Portsmouth,Norwich,Portsmouth,Norwich,1,2,A,False,,,,
2025-08-16,Wrexham,West Brom,Wrexham,West Brom,2,3,A,False,,,,
2025-08-16,Blackburn,Birmingham,Blackburn,Birmingham,1,2,A,False,,,,
2025-08-16,Bristol City,Charlton,Bristol City,Charlton,0,0,D,False,,,,
2025-08-16,Millwall,Middlesbrough,Millwall,Middlesbrough,0,3,A,False,,,,
2025-08-16,Preston,Leicester,Preston,Leicester City,2,1,H,False,,,,
2025-08-16,Sheffield Weds,Stoke,Sheffield Weds,Stoke,0,3,A,False,,,,
2025-08-16,Swansea,Sheffield United,Swansea,Sheffield United,1,0,H,False,,,,
2025-08-16,Watford,QPR,Watford,QPR,2,1,H,False,,,,
2025-08-17,Ipswich,Southampton,Ipswich Town,Southampton,1,1,D,False,,,,
2025-08-17,Hull,Oxford,Hull,Oxford,3,2,H,False,,,,
2025-08-22,Derby,Bristol City,Derby,Bristol City,1,1,D,False,,,,
2025-08-23,Charlton,Leicester,Charlton,Leicester City,0,1,A,False,,,,
2025-08-23,Hull,Blackburn,Hull,Blackburn,0,3,A,False,,,,
2025-08-23,Swansea,Watford,Swansea,Watford,1,1,D,False,,,,
2025-08-23,Birmingham,Oxford,Birmingham,Oxford,1,0,H,False,,,,
2025-08-23,Coventry,QPR,Coventry,QPR,7,1,H,False,,,,
2025-08-23,Norwich,Middlesbrough,Norwich,Middlesbrough,1,2,A,False,,,,
2025-08-23,Preston,Ipswich,Preston,Ipswich Town,1,0,H,False,,,,
2025-08-23,Sheffield United,Millwall,Sheffield United,Millwall,0,1,A,False,,,,
2025-08-23,Southampton,Stoke,Southampton,Stoke,1,2,A,False,,,,
2025-08-23,West Brom,Portsmouth,West Brom,Portsmouth,1,1,D,False,,,,
2025-08-23,Wrexham,Sheffield Weds,Wrexham,Sheffield Weds,2,2,D,False,,,,
2025-08-29,Leicester,Birmingham,Leicester City,Birmingham,2,0,H,False,,,,
2025-08-30,Middlesbrough,Sheffield United,Middlesbrough,Sheffield United,1,0,H,False,,,,
2025-08-30,QPR,Charlton,QPR,Charlton,3,1,H,False,,,,
2025-08-30,Stoke,West Brom,Stoke,West Brom,0,1,A,False,,,,
2025-08-30,Blackburn,Norwich,Blackburn,Norwich,0,2,A,False,,,,
2025-08-30,Bristol City,Hull,Bristol City,Hull,4,2,H,False,,,,
2025-08-30,Ipswich,Derby,Ipswich Town,Derby,2,2,D,False,,,,
2025-08-30,Millwall,Wrexham,Millwall,Wrexham,0,2,A,False,,,,
2025-08-30,Oxford,Coventry,Oxford,Coventry,2,2,D,False,,,,
2025-08-30,Portsmouth,Preston,Portsmouth,Preston,1,0,H,False,,,,
2025-08-30,Sheffield Weds,Swansea,Sheffield Weds,Swansea,0,2,A,False,,,,
2025-08-30,Watford,Southampton,Watford,Southampton,2,2,D,False,,,,
