date,home_team_epl,away_team_epl,home_team_mapped,away_team_mapped,home_goals,away_goals,result,has_xg,home_xg,away_xg,xg_source,match_id
2025-08-15,Liverpool,Bournemouth,Liverpool,Bournemouth,4,2,H,True,2.33007,1.57303,understat_api,28778.0
2025-08-16,Aston Villa,Newcastle,Aston Villa,Newcastle United,0,0,D,True,0.318601,1.40098,understat_api,28779.0
2025-08-16,Brighton,Fulham,Brighton,Fulham,1,1,D,True,1.44008,0.902883,understat_api,28780.0
2025-08-16,Sunderland,West Ham,Sunderland,West Ham,3,0,H,True,0.724368,0.558948,understat_api,28781.0
2025-08-16,Tottenham,Burnley,Tottenham,Burnley,3,0,H,True,1.97858,0.734138,understat_api,28782.0
2025-08-16,Wolves,Man City,Wolverhampton Wanderers,Manchester City,0,4,A,True,0.519436,2.29903,understat_api,28783.0
2025-08-17,Chelsea,Crystal Palace,Chelsea,Crystal Palace,0,0,D,True,1.36793,1.03414,understat_api,28784.0
2025-08-17,Man United,Arsenal,Manchester United,Arsenal,0,1,A,True,1.37653,1.3304,understat_api,28786.0
2025-08-22,West Ham,Chelsea,West Ham,Chelsea,1,5,A,True,0.978572,3.94997,understat_api,28788.0
2025-08-23,Man City,Tottenham,Manchester City,Tottenham,0,2,A,True,1.2475,1.28015,understat_api,28789.0
2025-08-23,Bournemouth,Wolves,Bournemouth,Wolverhampton Wanderers,1,0,H,True,1.78462,0.373367,understat_api,28792.0
2025-08-23,Brentford,Aston Villa,Brentford,Aston Villa,1,0,H,True,1.12964,0.976852,understat_api,28790.0
2025-08-23,Burnley,Sunderland,Burnley,Sunderland,2,0,H,True,1.00381,1.12127,understat_api,28791.0
2025-08-24,Everton,Brighton,Everton,Brighton,2,0,H,True,1.80116,2.08487,understat_api,28795.0
2025-08-24,Fulham,Man United,Fulham,Manchester United,1,1,D,True,1.65333,1.54603,understat_api,28796.0
2025-08-25,Newcastle,Liverpool,Newcastle United,Liverpool,2,3,A,True,1.96342,0.646559,understat_api,28797.0
2025-08-30,Chelsea,Fulham,Chelsea,Fulham,2,0,H,True,2.4324,0.736228,understat_api,28798.0
2025-08-30,Man United,Burnley,Manchester United,Burnley,3,2,H,True,4.02237,1.32618,understat_api,28802.0
2025-08-30,Sunderland,Brentford,Sunderland,Brentford,2,1,H,True,1.57127,1.44604,understat_api,28801.0
2025-08-30,Tottenham,Bournemouth,Tottenham,Bournemouth,0,1,A,True,0.17067,2.1201,understat_api,28799.0
2025-08-30,Wolves,Everton,Wolverhampton Wanderers,Everton,2,3,A,True,0.943257,2.03791,understat_api,28800.0
2025-08-31,Brighton,Man City,Brighton,Manchester City,2,1,H,True,2.20864,2.13418,understat_api,28805.0
2025-08-31,Liverpool,Arsenal,Liverpool,Arsenal,1,0,H,True,0.481404,0.485679,understat_api,28806.0
2025-08-31,Aston Villa,Crystal Palace,Aston Villa,Crystal Palace,0,3,A,True,1.20586,2.59713,understat_api,28807.0
