event_id,date,time,datetime,home_team,away_team,home_score,away_score,result,status,is_played,season,league
2267073,2025-08-15,19:00:00,2025-08-15 19:00:00,Liverpool,Bournemouth,4,2,H,Match Finished,True,2025-2026,EPL
2267074,2025-08-16,11:30:00,2025-08-16 11:30:00,Aston Villa,Newcastle United,0,0,D,Match Finished,True,2025-2026,EPL
2267075,2025-08-16,14:00:00,2025-08-16 14:00:00,Brighton and Hove Albion,Fulham,1,1,D,Match Finished,True,2025-2026,EPL
2267077,2025-08-16,14:00:00,2025-08-16 14:00:00,Sunderland,West Ham United,3,0,H,Match Finished,True,2025-2026,EPL
2267078,2025-08-16,14:00:00,2025-08-16 14:00:00,Tottenham Hotspur,Burnley,3,0,H,Match Finished,True,2025-2026,EPL
2267079,2025-08-16,16:30:00,2025-08-16 16:30:00,Wolverhampton Wanderers,Manchester City,0,4,A,Match Finished,True,2025-2026,EPL
2267076,2025-08-17,13:00:00,2025-08-17 13:00:00,Nottingham Forest,Brentford,3,1,H,Match Finished,True,2025-2026,EPL
2267080,2025-08-17,13:00:00,2025-08-17 13:00:00,Chelsea,Crystal Palace,0,0,D,Match Finished,True,2025-2026,EPL
2267081,2025-08-17,15:30:00,2025-08-17 15:30:00,Manchester United,Arsenal,0,1,A,Match Finished,True,2025-2026,EPL
2267082,2025-08-18,19:00:00,2025-08-18 19:00:00,Leeds United,Everton,1,0,H,Match Finished,True,2025-2026,EPL
2267092,2025-08-22,19:00:00,2025-08-22 19:00:00,West Ham United,Chelsea,1,5,A,Match Finished,True,2025-2026,EPL
2267083,2025-08-23,16:30:00,2025-08-23 16:30:00,Arsenal,Leeds United,5,0,H,Match Finished,True,2025-2026,EPL
2267084,2025-08-23,14:00:00,2025-08-23 14:00:00,Bournemouth,Wolverhampton Wanderers,1,0,H,Match Finished,True,2025-2026,EPL
2267085,2025-08-23,14:00:00,2025-08-23 14:00:00,Brentford,Aston Villa,1,0,H,Match Finished,True,2025-2026,EPL
2267086,2025-08-23,14:00:00,2025-08-23 14:00:00,Burnley,Sunderland,2,0,H,Match Finished,True,2025-2026,EPL
2267090,2025-08-23,11:30:00,2025-08-23 11:30:00,Manchester City,Tottenham Hotspur,0,2,A,Match Finished,True,2025-2026,EPL
2267087,2025-08-24,13:00:00,2025-08-24 13:00:00,Crystal Palace,Nottingham Forest,1,1,D,Match Finished,True,2025-2026,EPL
2267088,2025-08-24,13:00:00,2025-08-24 13:00:00,Everton,Brighton and Hove Albion,2,0,H,Match Finished,True,2025-2026,EPL
2267089,2025-08-24,15:30:00,2025-08-24 15:30:00,Fulham,Manchester United,1,1,D,Match Finished,True,2025-2026,EPL
2267091,2025-08-25,19:00:00,2025-08-25 19:00:00,Newcastle United,Liverpool,2,3,A,Match Finished,True,2025-2026,EPL
2267095,2025-08-30,11:30:00,2025-08-30 11:30:00,Chelsea,Fulham,2,0,H,Match Finished,True,2025-2026,EPL
2267096,2025-08-30,16:30:00,2025-08-30 16:30:00,Leeds United,Newcastle United,0,0,D,Match Finished,True,2025-2026,EPL
2267098,2025-08-30,14:00:00,2025-08-30 14:00:00,Manchester United,Burnley,3,2,H,Match Finished,True,2025-2026,EPL
2267100,2025-08-30,14:00:00,2025-08-30 14:00:00,Sunderland,Brentford,2,1,H,Match Finished,True,2025-2026,EPL
2267101,2025-08-30,14:00:00,2025-08-30 14:00:00,Tottenham Hotspur,Bournemouth,0,1,A,Match Finished,True,2025-2026,EPL
2267102,2025-08-30,14:00:00,2025-08-30 14:00:00,Wolverhampton Wanderers,Everton,2,3,A,Match Finished,True,2025-2026,EPL
2267093,2025-08-31,18:00:00,2025-08-31 18:00:00,Aston Villa,Crystal Palace,0,3,A,Match Finished,True,2025-2026,EPL
2267094,2025-08-31,13:00:00,2025-08-31 13:00:00,Brighton and Hove Albion,Manchester City,2,1,H,Match Finished,True,2025-2026,EPL
