event_id,date,time,datetime,home_team,away_team,home_score,away_score,result,status,is_played,season,league
2267115,2025-09-20,14:00:00,2025-09-20 14:00:00,Brighton and Hove Albion,Tottenham Hotspur,,,,Not Started,False,2025-2026,EPL
2267116,2025-09-20,14:00:00,2025-09-20 14:00:00,Burnley,Nottingham Forest,,,,Not Started,False,2025-2026,EPL
2267117,2025-09-20,19:00:00,2025-09-20 19:00:00,Fulham,Brentford,,,,Not Started,False,2025-2026,EPL
2267118,2025-09-20,11:30:00,2025-09-20 11:30:00,Liverpool,Everton,,,,Not Started,False,2025-2026,EPL
2267119,2025-09-20,16:30:00,2025-09-20 16:30:00,Manchester United,Chelsea,,,,Not Started,False,2025-2026,EPL
2267121,2025-09-20,14:00:00,2025-09-20 14:00:00,West Ham United,Crystal Palace,,,,Not Started,False,2025-2026,EPL
2267122,2025-09-20,14:00:00,2025-09-20 14:00:00,Wolverhampton Wanderers,Leeds United,,,,Not Started,False,2025-2026,EPL
2267113,2025-09-21,15:30:00,2025-09-21 15:30:00,Arsenal,Manchester City,,,,Not Started,False,2025-2026,EPL
2267114,2025-09-21,13:00:00,2025-09-21 13:00:00,Bournemouth,Newcastle United,,,,Not Started,False,2025-2026,EPL
2267120,2025-09-21,13:00:00,2025-09-21 13:00:00,Sunderland,Aston Villa,,,,Not Started,False,2025-2026,EPL
2267124,2025-09-27,11:30:00,2025-09-27 11:30:00,Brentford,Manchester United,,,,Not Started,False,2025-2026,EPL
2267125,2025-09-27,14:00:00,2025-09-27 14:00:00,Chelsea,Brighton and Hove Albion,,,,Not Started,False,2025-2026,EPL
2267126,2025-09-27,14:00:00,2025-09-27 14:00:00,Crystal Palace,Liverpool,,,,Not Started,False,2025-2026,EPL
2267128,2025-09-27,14:00:00,2025-09-27 14:00:00,Leeds United,Bournemouth,,,,Not Started,False,2025-2026,EPL
2267129,2025-09-27,14:00:00,2025-09-27 14:00:00,Manchester City,Burnley,,,,Not Started,False,2025-2026,EPL
2267131,2025-09-27,16:30:00,2025-09-27 16:30:00,Nottingham Forest,Sunderland,,,,Not Started,False,2025-2026,EPL
2267132,2025-09-27,19:00:00,2025-09-27 19:00:00,Tottenham Hotspur,Wolverhampton Wanderers,,,,Not Started,False,2025-2026,EPL
2267123,2025-09-28,13:00:00,2025-09-28 13:00:00,Aston Villa,Fulham,,,,Not Started,False,2025-2026,EPL
2267130,2025-09-28,15:30:00,2025-09-28 15:30:00,Newcastle United,Arsenal,,,,Not Started,False,2025-2026,EPL
2267127,2025-09-29,19:00:00,2025-09-29 19:00:00,Everton,West Ham United,,,,Not Started,False,2025-2026,EPL
2267135,2025-10-03,19:00:00,2025-10-03 19:00:00,Bournemouth,Fulham,,,,Not Started,False,2025-2026,EPL
2267133,2025-10-04,14:00:00,2025-10-04 14:00:00,Arsenal,West Ham United,,,,Not Started,False,2025-2026,EPL
2267137,2025-10-04,16:30:00,2025-10-04 16:30:00,Chelsea,Liverpool,,,,Not Started,False,2025-2026,EPL
2267139,2025-10-04,11:30:00,2025-10-04 11:30:00,Leeds United,Tottenham Hotspur,,,,Not Started,False,2025-2026,EPL
2267140,2025-10-04,14:00:00,2025-10-04 14:00:00,Manchester United,Sunderland,,,,Not Started,False,2025-2026,EPL
2267134,2025-10-05,13:00:00,2025-10-05 13:00:00,Aston Villa,Burnley,,,,Not Started,False,2025-2026,EPL
2267136,2025-10-05,15:30:00,2025-10-05 15:30:00,Brentford,Manchester City,,,,Not Started,False,2025-2026,EPL
2267138,2025-10-05,13:00:00,2025-10-05 13:00:00,Everton,Crystal Palace,,,,Not Started,False,2025-2026,EPL
2267141,2025-10-05,13:00:00,2025-10-05 13:00:00,Newcastle United,Nottingham Forest,,,,Not Started,False,2025-2026,EPL
2267142,2025-10-05,13:00:00,2025-10-05 13:00:00,Wolverhampton Wanderers,Brighton and Hove Albion,,,,Not Started,False,2025-2026,EPL
2267143,2025-10-18,14:00:00,2025-10-18 14:00:00,Brighton and Hove Albion,Newcastle United,,,,Not Started,False,2025-2026,EPL
2267144,2025-10-18,14:00:00,2025-10-18 14:00:00,Burnley,Leeds United,,,,Not Started,False,2025-2026,EPL
2267145,2025-10-18,14:00:00,2025-10-18 14:00:00,Crystal Palace,Bournemouth,,,,Not Started,False,2025-2026,EPL
2267146,2025-10-18,16:30:00,2025-10-18 16:30:00,Fulham,Arsenal,,,,Not Started,False,2025-2026,EPL
2267148,2025-10-18,14:00:00,2025-10-18 14:00:00,Manchester City,Everton,,,,Not Started,False,2025-2026,EPL
2267149,2025-10-18,11:30:00,2025-10-18 11:30:00,Nottingham Forest,Chelsea,,,,Not Started,False,2025-2026,EPL
2267150,2025-10-18,14:00:00,2025-10-18 14:00:00,Sunderland,Wolverhampton Wanderers,,,,Not Started,False,2025-2026,EPL
2267147,2025-10-19,15:30:00,2025-10-19 15:30:00,Liverpool,Manchester United,,,,Not Started,False,2025-2026,EPL
2267151,2025-10-19,13:00:00,2025-10-19 13:00:00,Tottenham Hotspur,Aston Villa,,,,Not Started,False,2025-2026,EPL
2267152,2025-10-20,19:00:00,2025-10-20 19:00:00,West Ham United,Brentford,,,,Not Started,False,2025-2026,EPL
2267159,2025-10-24,19:00:00,2025-10-24 19:00:00,Leeds United,West Ham United,,,,Not Started,False,2025-2026,EPL
2267156,2025-10-25,19:00:00,2025-10-25 19:00:00,Brentford,Liverpool,,,,Not Started,False,2025-2026,EPL
2267157,2025-10-25,14:00:00,2025-10-25 14:00:00,Chelsea,Sunderland,,,,Not Started,False,2025-2026,EPL
2267160,2025-10-25,16:30:00,2025-10-25 16:30:00,Manchester United,Brighton and Hove Albion,,,,Not Started,False,2025-2026,EPL
2267161,2025-10-25,14:00:00,2025-10-25 14:00:00,Newcastle United,Fulham,,,,Not Started,False,2025-2026,EPL
2267153,2025-10-26,14:00:00,2025-10-26 14:00:00,Arsenal,Crystal Palace,,,,Not Started,False,2025-2026,EPL
2267154,2025-10-26,14:00:00,2025-10-26 14:00:00,Aston Villa,Manchester City,,,,Not Started,False,2025-2026,EPL
2267155,2025-10-26,14:00:00,2025-10-26 14:00:00,Bournemouth,Nottingham Forest,,,,Not Started,False,2025-2026,EPL
2267158,2025-10-26,16:30:00,2025-10-26 16:30:00,Everton,Tottenham Hotspur,,,,Not Started,False,2025-2026,EPL
2267162,2025-10-26,14:00:00,2025-10-26 14:00:00,Wolverhampton Wanderers,Burnley,,,,Not Started,False,2025-2026,EPL
2267163,2025-11-01,15:00:00,2025-11-01 15:00:00,Brighton and Hove Albion,Leeds United,,,,Not Started,False,2025-2026,EPL
2267164,2025-11-01,15:00:00,2025-11-01 15:00:00,Burnley,Arsenal,,,,Not Started,False,2025-2026,EPL
2267165,2025-11-01,15:00:00,2025-11-01 15:00:00,Crystal Palace,Brentford,,,,Not Started,False,2025-2026,EPL
2267166,2025-11-01,15:00:00,2025-11-01 15:00:00,Fulham,Wolverhampton Wanderers,,,,Not Started,False,2025-2026,EPL
2267167,2025-11-01,15:00:00,2025-11-01 15:00:00,Liverpool,Aston Villa,,,,Not Started,False,2025-2026,EPL
2267168,2025-11-01,15:00:00,2025-11-01 15:00:00,Manchester City,Bournemouth,,,,Not Started,False,2025-2026,EPL
2267169,2025-11-01,15:00:00,2025-11-01 15:00:00,Nottingham Forest,Manchester United,,,,Not Started,False,2025-2026,EPL
2267170,2025-11-01,15:00:00,2025-11-01 15:00:00,Sunderland,Everton,,,,Not Started,False,2025-2026,EPL
2267171,2025-11-01,15:00:00,2025-11-01 15:00:00,Tottenham Hotspur,Chelsea,,,,Not Started,False,2025-2026,EPL
2267172,2025-11-01,15:00:00,2025-11-01 15:00:00,West Ham United,Newcastle United,,,,Not Started,False,2025-2026,EPL
