Date,HomeTeam,AwayTeam,Referee,FTR,HY,AY,HR,AR,Season
2019-08-09,Liverpool,Norwich,M Oliver,H,0,2,0,0,2019_20
2019-08-10,West Ham,Man City,M Dean,A,2,2,0,0,2019_20
2019-08-10,Bournemouth,Sheffield United,K Friend,D,2,1,0,0,2019_20
2019-08-10,Burnley,Southampton,G Scott,H,0,0,0,0,2019_20
2019-08-10,Crystal Palace,Everton,J Moss,D,2,1,0,1,2019_20
2019-08-10,Watford,Brighton,C Pawson,A,0,1,0,0,2019_20
2019-08-10,Tottenham,Aston Villa,C Kavanagh,H,1,0,0,0,2019_20
2019-08-11,Leicester,Wolves,A Marriner,D,0,2,0,0,2019_20
2019-08-11,Newcastle,Arsenal,M Atkinson,A,1,3,0,0,2019_20
2019-08-11,Man United,Chelsea,A Taylor,H,3,4,0,0,2019_20
2019-08-17,Arsenal,Burnley,M Dean,H,2,1,0,0,2019_20
2019-08-17,Aston Villa,Bournemouth,M Atkinson,A,0,2,0,0,2019_20
2019-08-17,Brighton,West Ham,A Taylor,D,0,2,0,0,2019_20
2019-08-17,Everton,Watford,L Mason,H,2,3,0,0,2019_20
2019-08-17,Norwich,Newcastle,S Attwell,H,1,3,0,0,2019_20
2019-08-17,Southampton,Liverpool,A Marriner,A,2,1,0,0,2019_20
2019-08-17,Man City,Tottenham,M Oliver,D,1,0,0,0,2019_20
2019-08-18,Sheffield United,Crystal Palace,D Coote,H,3,1,0,0,2019_20
2019-08-18,Chelsea,Leicester,O Langford,D,1,0,0,0,2019_20
2019-08-19,Wolves,Man United,J Moss,D,2,2,0,0,2019_20
2019-08-23,Aston Villa,Everton,M Oliver,H,2,3,0,0,2019_20
2019-08-24,Norwich,Chelsea,M Atkinson,A,1,1,0,0,2019_20
2019-08-24,Brighton,Southampton,K Friend,A,1,3,1,0,2019_20
2019-08-24,Man United,Crystal Palace,P Tierney,A,2,4,0,0,2019_20
2019-08-24,Sheffield United,Leicester,A Madley,A,1,0,0,0,2019_20
2019-08-24,Watford,West Ham,C Kavanagh,A,1,1,0,0,2019_20
